Settings === Total time = 10000, Number of Nodes = 6, Speed = 10
Time	Node	Pos_X	Pos_Y
144	6	2925	1000
145	1	440	1000
145	2	620	1000
145	3	1320	1000
145	4	1780	1000
145	5	2160	1000
145	6	2900	1000
146	1	450	1000
146	2	600	1000
146	3	1350	1000
146	4	1775	1000
146	5	2175	1000
146	6	2875	1000
147	1	460	1000
147	2	580	1000
147	3	1380	1000
147	4	1770	1000
147	5	2190	1000
147	6	2850	1000
148	1	470	1000
148	2	560	1000
148	3	1410	1000
148	4	1765	1000
148	5	2205	1000
148	6	2825	1000
149	1	480	1000
149	2	540	1000
149	3	1440	1000
149	4	1760	1000
149	5	2220	1000
149	6	2800	1000
150	1	490	1000
150	2	520	1000
150	3	1470	1000
150	4	1755	1000
150	5	2235	1000
150	6	2775	1000
151	1	500	1000
151	2	500	1000
151	3	1500	1000
151	4	1750	1000
151	5	2250	1000
151	6	2750	1000
152	1	490	1000
152	2	520	1000
152	3	1470	1000
152	4	1745	1000
152	5	2265	1000
152	6	2725	1000
153	1	480	1000
153	2	540	1000
153	3	1440	1000
153	4	1740	1000
153	5	2280	1000
153	6	2700	1000
154	1	470	1000
154	2	560	1000
154	3	1410	1000
154	4	1735	1000
154	5	2295	1000
154	6	2675	1000
155	1	460	1000
155	2	580	1000
155	3	1380	1000
155	4	1730	1000
155	5	2310	1000
155	6	2650	1000
156	1	450	1000
156	2	600	1000
156	3	1350	1000
156	4	1725	1000
156	5	2325	1000
156	6	2625	1000
157	1	440	1000
157	2	620	1000
157	3	1320	1000
157	4	1720	1000
157	5	2340	1000
157	6	2600	1000
158	1	430	1000
158	2	640	1000
158	3	1290	1000
158	4	1715	1000
158	5	2355	1000
158	6	2575	1000
159	1	420	1000
159	2	660	1000
159	3	1260	1000
159	4	1710	1000
159	5	2370	1000
159	6	2550	1000
160	1	410	1000
160	2	680	1000
160	3	1230	1000
160	4	1705	1000
160	5	2385	1000
160	6	2525	1000
161	1	400	1000
161	2	700	1000
161	3	1200	1000
161	4	1700	1000
161	5	2400	1000
161	6	2500	1000
162	1	390	1000
162	2	720	1000
162	3	1170	1000
162	4	1695	1000
162	5	2415	1000
162	6	2525	1000
163	1	380	1000
163	2	740	1000
163	3	1140	1000
163	4	1690	1000
163	5	2430	1000
163	6	2550	1000
164	1	370	1000
164	2	760	1000
164	3	1110	1000
164	4	1685	1000
164	5	2445	1000
164	6	2575	1000
165	1	360	1000
165	2	780	1000
165	3	1080	1000
165	4	1680	1000
165	5	2460	1000
165	6	2600	1000
166	1	350	1000
166	2	800	1000
166	3	1050	1000
166	4	1675	1000
166	5	2475	1000
166	6	2625	1000
167	1	340	1000
167	2	820	1000
167	3	1020	1000
167	4	1670	1000
167	5	2490	1000
167	6	2650	1000
168	1	330	1000
168	2	840	1000
168	3	1010	1000
168	4	1665	1000
168	5	2495	1000
168	6	2675	1000
169	1	320	1000
169	2	860	1000
169	3	1040	1000
169	4	1660	1000
169	5	2480	1000
169	6	2700	1000
170	1	310	1000
170	2	880	1000
170	3	1070	1000
170	4	1655	1000
170	5	2465	1000
170	6	2725	1000
171	1	300	1000
171	2	900	1000
171	3	1100	1000
171	4	1650	1000
171	5	2450	1000
171	6	2750	1000
172	1	290	1000
172	2	920	1000
172	3	1130	1000
172	4	1645	1000
172	5	2435	1000
172	6	2775	1000
173	1	280	1000
173	2	940	1000
173	3	1160	1000
173	4	1640	1000
173	5	2420	1000
173	6	2800	1000
174	1	270	1000
174	2	960	1000
174	3	1190	1000
174	4	1635	1000
