Settings === Total time = 1200, Number of Nodes = 13, Speed = 20
Time	Node	Pos_X	Pos_Y
49	9	5960	4000
49	10	5960	6000
49	11	5960	8000
49	12	10000	2960
49	13	9940	2000
50	1	20	8000
50	2	0	2980
50	3	980	2000
50	4	980	4000
50	5	980	6000
50	6	980	8000
50	7	5000	2980
50	8	5980	2000
50	9	5980	4000
50	10	5980	6000
50	11	5980	8000
50	12	10000	2980
50	13	9920	2000
51	1	0	8000
51	2	0	3000
51	3	1000	2000
51	4	1000	4000
51	5	1000	6000
51	6	1000	8000
51	7	5000	3000
51	8	6000	2000
51	9	6000	4000
51	10	6000	6000
51	11	6000	8000
51	12	10000	3000
51	13	9900	2000
52	1	20	8000
52	2	0	3020
52	3	1020	2000
52	4	1020	4000
52	5	1020	6000
52	6	1020	8000
52	7	5000	3020
52	8	6020	2000
52	9	6020	4000
52	10	6020	6000
52	11	6020	8000
52	12	10000	3020
52	13	9920	2000
53	1	40	8000
53	2	0	3040
53	3	1040	2000
53	4	1040	4000
53	5	1040	6000
53	6	1040	8000
53	7	5000	3040
53	8	6040	2000
53	9	6040	4000
53	10	6040	6000
53	11	6040	8000
53	12	10000	3040
53	13	9940	2000
54	1	60	8000
54	2	0	3060
54	3	1060	2000
54	4	1060	4000
54	5	1060	6000
54	6	1060	8000
54	7	5000	3060
54	8	6060	2000
54	9	6060	4000
54	10	6060	6000
54	11	6060	8000
54	12	10000	3060
54	13	9960	2000
55	1	80	8000
55	2	0	3080
55	3	1080	2000
55	4	1080	4000
55	5	1080	6000
55	6	1080	8000
55	7	5000	3080
55	8	6080	2000
55	9	6080	4000
55	10	6080	6000
55	11	6080	8000
55	12	10000	3080
55	13	9980	2000
56	1	100	8000
56	2	0	3100
56	3	1100	2000
56	4	1100	4000
56	5	1100	6000
56	6	1100	8000
56	7	5000	3100
56	8	6100	2000
56	9	6100	4000
56	10	6100	6000
56	11	6100	8000
56	12	10000	3100
56	13	10000	2000
57	1	80	8000
57	2	0	3120
57	3	1120	2000
57	4	1120	4000
57	5	1120	6000
57	6	1120	8000
57	7	5000	3120
57	8	6120	2000
57	9	6120	4000
57	10	6120	6000
57	11	6120	8000
57	12	10000	3120
57	13	9980	2000
58	1	60	8000
58	2	0	3140
58	3	1140	2000
58	4	1140	4000
58	5	1140	6000
58	6	1140	8000
58	7	5000	3140
58	8	6140	2000
58	9	6140	4000
58	10	6140	6000
58	11	6140	8000
58	12	10000	3140
58	13	9960	2000
59	1	40	8000
59	2	0	3160
59	3	1160	2000
59	4	1160	4000
59	5	1160	6000
59	6	1160	8000
59	7	5000	3160
59	8	6160	2000
59	9	6160	4000
59	10	6160	6000
59	11	6160	8000
59	12	10000	3160
59	13	9940	2000
60	1	20	8000
60	2	0	3180
60	3	1180	2000
60	4	1180	4000
60	5	1180	6000
60	6	1180	8000
60	7	5000	3180
60	8	6180	2000
60	9	6180	4000
60	10	6180	6000
60	11	6180	8000
60	12	10000	3180
60	13	9920	2000
61	1	0	8000
61	2	0	3200
61	3	1200	2000
61	4	1200	4000
61	5	1200	6000
61	6	1200	8000
61	7	5000	3200
61	8	6200	2000
61	9	6200	4000
61	10	6200	6000
61	11	6200	8000
61	12	10000	3200
61	13	9900	2000
62	1	20	8000
62	2	0	3220
62	3	1220	2000
62	4	1220	4000
62	5	1220	6000
62	6	1220	8000
62	7	5000	3220
62	8	6220	2000
62	9	6220	4000
62	10	6220	6000
62	11	6220	8000
62	12	10000	3220
62	13	9920	2000
63	1	40	8000
63	2	0	3240
63	3	1240	2000
63	4	1240	4000
63	5	1240	6000
63	6	1240	8000
63	7	5000	3240
63	8	6240	2000
63	9	6240	4000
63	10	6240	6000
63	11	6240	8000
63	12	10000	3240
63	13	9940	2000
64	1	60	8000
64	2	0	3260
64	3	1260	2000
64	4	1260	4000
64	5	1260	6000
64	6	1260	8000
64	7	5000	3260
64	8	6260	2000
64	9	6260	4000
64	10	6260	6000
64	11	6260	8000
64	12	10000	3260
64	13	9960	2000
65	1	80	8000
65	2	0	3280
65	3	1280	2000
65	4	1280	4000
65	5	1280	6000
65	6	1280	8000
65	7	5000	3280
65	8	6280	2000
65	9	6280	4000
65	10	6280	6000
65	11	6280	8000
65	12	10000	3280
65	13	9980	2000
66	1	100	8000
66	2	0	3300
66	3	1300	2000
66	4	1300	4000
66	5	1300	6000
66	6	1300	8000
66	7	5000	3300
66	8	6300	2000
66	9	6300	4000
66	10	6300	6000
66	11	6300	8000
66	12	10000	3300
66	13	10000	2000
67	1	80	8000
67	2	0	3320
67	3	1320	2000
67	4	1320	4000
67	5	1320	6000
67	6	1320	8000
67	7	5000	3320
67	8	6320	2000
67	9	6320	4000
